Source File: D:\Storage\Programs\OOI\Group 5\Correspondence\07_18_14 sample files\files\11079364.WC
Processed: 07/18/2014 17:47:39
Using Version: 1.11
Device: SBE
Start Date: 04/17/2014
Timestamp (s)	Suspect Timestamp	Pressure (dbar)	Velocity (m/s)
1397773558.611	n	5.712	0.296
1397773558.678	n	5.730	0.294
1397773558.737	n	5.747	0.292
1397773558.803	n	5.766	0.294
1397773558.861	n	5.784	0.294
1397773558.937	n	5.803	0.294
1397773558.986	n	5.825	0.302
1397773559.049	n	5.843	0.300
1397773559.117	n	5.863	0.302
1397773559.174	n	5.876	0.290
1397773559.236	n	5.896	0.294
1397773559.300	n	5.914	0.294
1397773559.365	n	5.932	0.294
1397773559.424	n	5.949	0.292
1397773559.492	n	5.966	0.290
1397773559.549	n	5.986	0.294
1397773559.611	n	5.998	0.282
1397773559.681	n	6.017	0.283
1397773559.736	n	6.034	0.282
1397773559.805	n	6.050	0.277
1397773559.861	n	6.067	0.278
1397773559.937	n	6.083	0.275
1397773559.987	n	6.098	0.272
1397773560.050	n	6.115	0.272
1397773560.111	n	6.129	0.266
1397773560.178	n	6.147	0.268
1397773560.237	n	6.163	0.266
1397773560.299	n	6.179	0.264
1397773560.368	n	6.193	0.257
1397773560.424	n	6.211	0.262
1397773560.486	n	6.227	0.262
1397773560.549	n	6.242	0.260
1397773560.615	n	6.259	0.262
1397773560.674	n	6.274	0.260
1397773560.742	n	6.287	0.254
1397773560.799	n	6.303	0.254
1397773560.865	n	6.318	0.252
1397773560.928	n	6.332	0.248
1397773560.987	n	6.345	0.242
1397773561.050	n	6.359	0.240
1397773561.112	n	6.372	0.236
1397773561.174	n	6.383	0.228
1397773561.236	n	6.399	0.232
1397773561.303	n	6.410	0.224
1397773561.362	n	6.424	0.224
1397773561.429	n	6.433	0.214
1397773561.485	n	6.445	0.212
1397773561.548	n	6.453	0.202
1397773561.618	n	6.461	0.192
1397773561.673	n	6.475	0.196
1397773561.740	n	6.487	0.196
1397773561.798	n	6.497	0.192
1397773561.861	n	6.503	0.180
1397773561.927	n	6.514	0.180
1397773561.989	n	6.525	0.180
1397773562.048	n	6.530	0.168
1397773562.115	n	6.535	0.156
1397773562.174	n	6.542	0.150
1397773562.240	n	6.548	0.144
1397773562.310	n	6.555	0.139
1397773562.361	n	6.563	0.138
1397773562.431	n	6.567	0.128
1397773562.486	n	6.572	0.122
1397773562.555	n	6.575	0.112
1397773562.611	n	6.578	0.104
1397773562.678	n	6.588	0.110
1397773562.736	n	6.589	0.098
1397773562.803	n	6.591	0.090
1397773562.861	n	6.592	0.080
1397773562.934	n	6.593	0.072
