Profile 0

 mmho/cm   Celsius      dbars     hz
+00.9913  +23.5447  -0000.450      0
+00.9913  +23.5445  -0000.350      0
+00.9913  +23.5445  -0000.100      0
+00.9913  +23.5437  -0000.240      0
+00.9913  +23.5445  -0000.400      0
+00.9912  +23.5445  -0000.480      0
+00.9913  +23.5438  -0000.270      0
+00.9912  +23.5439  -0000.090      0
+00.9913  +23.5437  -0000.230      0
+00.9913  +23.5430  -0000.400      0
+00.9912  +23.5436  -0000.420      0
+00.9913  +23.5427  -0000.180      0
+00.9912  +23.5436  -0000.180      0
+00.9912  +23.5424  -0000.370      0
+00.9912  +23.5428  -0000.410      0
+00.9912  +23.5415  -0000.180      0
+00.9912  +23.5417  -0000.190      0
+00.9912  +23.5415  -0000.340      0
+00.9912  +23.5405  -0000.460      0
+00.9912  +23.5419  -0000.220      0
+00.9912  +23.5416  -0000.130      0
+00.9912  +23.5417  -0000.240      0
+00.9912  +23.5408  -0000.410      0
+00.9912  +23.5403  -0000.400      0
+00.9912  +23.5407  -0000.260      0
+00.9912  +23.5410  -0000.110      0
+00.9912  +23.5406  -0000.140      0
+00.9912  +23.5402  -0000.350      0
+00.9912  +23.5397  -0000.480      0
+00.9912  +23.5395  -0000.290      0
+00.9911  +23.5393  -0000.150      0
+00.9912  +23.5399  -0000.180      0
+00.9911  +23.5387  -0000.440      0
+00.9911  +23.5393  -0000.340      0
+00.9912  +23.5393  -0000.100      0
+00.9911  +23.5386  -0000.200      0
+00.9912  +23.5377  -0000.490      0
+00.9911  +23.5379  -0000.340      0
+00.9911  +23.5372  -0000.090      0
+00.9911  +23.5378  -0000.290      0
+00.9911  +23.5376  -0000.470      0
+00.9911  +23.5371  -0000.310      0
+00.9911  +23.5374  -0000.090      0
+00.9911  +23.5363  -0000.350      0
+00.9911  +23.5365  -0000.400      0
+00.9911  +23.5364  -0000.220      0
+00.9911  +23.5365  -0000.100      0
+00.9911  +23.5365  -0000.440      0
+00.9911  +23.5363  -0000.450      0
+00.9911  +23.5353  -0000.290      0
+00.9911  +23.5354  -0000.180      0
+00.9911  +23.5356  -0000.150      0
+00.9911  +23.5351  -0000.340      0
+00.9911  +23.5352  -0000.430      0
+00.9911  +23.5350  -0000.310      0
+00.9910  +23.5350  -0000.150      0
+00.9911  +23.5339  -0000.110      0
